Date,State/Union Territory,Cured,Death,Total Cases,Total Samples,Positive,Negative
01/04/2020,Assam,0,0,1,2621.0,NA,NA
02/04/2020,Assam,0,0,5,1800.0,1175,132.0
03/04/2020,Assam,0,0,16,1325.0,938,44.0
04/04/2020,Assam,0,0,24,9744.0,8586,306.0
05/04/2020,Assam,0,0,26,3037.0,2299,32.0
06/04/2020,Assam,0,0,26,10716.0,9607,327.0
07/04/2020,Assam,0,0,26,9041.0,7308,576.0
08/04/2020,Assam,0,0,27,4596.0,NA,38.0
09/04/2020,Assam,0,0,28,206.0,185,1.0
10/04/2020,Assam,0,0,29,6374.0,6009,365.0
11/04/2020,Assam,0,1,29,6958.0,6577,381.0
12/04/2020,Assam,0,1,29,6958.0,6553,405.0
13/04/2020,Assam,0,1,31,8755.0,8323,432.0
14/04/2020,Assam,0,1,31,10505.0,10032,473.0
15/04/2020,Assam,0,1,33,11613.0,11088,525.0
16/04/2020,Assam,5,1,33,20235.0,19701,534.0
17/04/2020,Assam,5,1,35,1403.0,1210,12.0
18/04/2020,Assam,9,1,35,21450.0,20487,603.0
19/04/2020,Assam,12,1,35,26958.0,26311,647.0
20/04/2020,Assam,17,1,35,30733.0,30011,722.0
21/04/2020,Assam,19,1,35,35755.0,34998,757.0
22/04/2020,Assam,19,1,35,41512.0,40699,813.0
23/04/2020,Assam,19,1,35,48032.0,47139,893.0
24/04/2020,Assam,19,1,36,2679.0,NA,27.0
25/04/2020,Assam,19,1,36,61266.0,60250,1016.0
26/04/2020,Assam,19,1,36,68034.0,66937,1097.0
27/04/2020,Assam,27,1,36,2848.0,NA,33.0
28/04/2020,Assam,27,1,38,80334.0,79075,1259.0
29/04/2020,Assam,27,1,38,88061.0,86729,1332.0
30/04/2020,Assam,29,1,42,94558.0,93155,1403.0
01/05/2020,Assam,29,1,42,3754.0,NA,33.0
02/05/2020,Assam,32,1,43,108403.0,106878,1525.0
03/05/2020,Assam,32,1,43,114937.0,113354,1583.0
04/05/2020,Assam,32,1,43,125229.0,123579,1650.0
05/05/2020,Assam,32,1,43,133492.0,131775,1717.0
06/05/2020,Assam,32,1,43,141274.0,139497,1777.0
07/05/2020,Assam,32,1,45,149361.0,147528,1833.0
08/05/2020,Assam,34,1,54,156681.0,154794,1887.0
09/05/2020,Assam,34,1,59,165069.0,163139,1930.0
10/05/2020,Assam,34,2,63,173735.0,171755,1980.0
11/05/2020,Assam,34,2,63,181144.0,179126,2018.0
12/05/2020,Assam,34,2,65,191874.0,189823,2051.0
13/05/2020,Assam,39,2,65,201196.0,199059,2137.0
14/05/2020,Assam,39,2,80,210452.0,208247,2100.0
15/05/2020,Assam,39,2,87,219490.0,217183,2157.0
16/05/2020,Assam,41,2,90,6677.0,NA,33.0
17/05/2020,Assam,41,2,92,238998.0,236618,2230.0
18/05/2020,Assam,41,2,101,248771.0,246279,2282.0
19/05/2020,Assam,41,2,107,6965.0,NA,33.0
20/05/2020,Assam,41,4,142,7082.0,NA,33.0
21/05/2020,Assam,48,4,170,7167.0,NA,33.0
22/05/2020,Assam,54,4,203,7263.0,NA,33.0
23/05/2020,Assam,54,4,259,7327.0,NA,33.0
24/05/2020,Assam,55,4,329,7327.0,NA,33.0
25/05/2020,Assam,55,4,378,7363.0,NA,33.0
26/05/2020,Assam,62,4,526,7448.0,NA,33.0
27/05/2020,Assam,62,4,616,7499.0,NA,33.0
28/05/2020,Assam,87,4,781,7519.0,NA,33.0
29/05/2020,Assam,104,4,856,7567.0,NA,33.0
30/05/2020,Assam,125,4,1024,7567.0,NA,33.0
31/05/2020,Assam,163,4,1185,7706.0,NA,33.0
01/06/2020,Assam,185,4,1272,7805.0,NA,33.0
02/06/2020,Assam,277,4,1390,8086.0,NA,33.0
03/06/2020,Assam,324,4,1513,8295.0,NA,33.0
04/06/2020,Assam,413,4,1672,8413.0,NA,33.0
05/06/2020,Assam,442,4,1988,8694.0,NA,33.0
06/06/2020,Assam,498,4,2153,9037.0,NA,33.0
07/06/2020,Assam,547,4,2397,9242.0,NA,33.0
08/06/2020,Assam,615,4,2565,9341.0,NA,33.0
09/06/2020,Assam,665,4,2776,9859.0,NA,33.0
10/06/2020,Assam,1085,4,2937,10010.0,NA,35.0
11/06/2020,Assam,1249,4,3092,10226.0,NA,38.0
12/06/2020,Assam,1432,6,3319,10697.0,NA,38.0
13/06/2020,Assam,1537,8,3498,10955.0,NA,38.0
14/06/2020,Assam,1584,8,3718,11356.0,NA,38.0
15/06/2020,Assam,1960,8,4049,11518.0,NA,41.0
