Date,Country,New Cases,Total Cases,New Deaths,Total Deaths
13/01/2021,Germany,19600,1953426,1060,42637
12/01/2021,Germany,12802,1933826,891,41577
11/01/2021,Germany,12497,1921024,343,40686
10/01/2021,Germany,16946,1908527,465,40343
09/01/2021,Germany,24694,1891581,1083,39878
08/01/2021,Germany,31849,1866887,1188,38795
07/01/2021,Germany,26391,1835038,1070,37607
06/01/2021,Germany,21237,1808647,1019,36537
05/01/2021,Germany,11897,1787410,944,35518
04/01/2021,Germany,9847,1775513,302,34574
03/01/2021,Germany,10315,1765666,312,34272
02/01/2021,Germany,12690,1755351,336,33960
01/01/2021,Germany,22924,1742661,553,33624
31/12/2020,Germany,32552,1719737,964,33071
30/12/2020,Germany,22459,1687185,1129,32107
29/12/2020,Germany,12892,1664726,852,30978
28/12/2020,Germany,10976,1651834,348,30126
27/12/2020,Germany,13755,1640858,356,29778
26/12/2020,Germany,14455,1627103,240,29422
25/12/2020,Germany,25533,1612648,412,29182
24/12/2020,Germany,32195,1587115,802,28770
23/12/2020,Germany,24740,1554920,962,27968
22/12/2020,Germany,19528,1530180,731,27006
21/12/2020,Germany,16643,1510652,226,26275
20/12/2020,Germany,22771,1494009,409,26049
19/12/2020,Germany,31300,1471238,702,25640
18/12/2020,Germany,33777,1439938,813,24938
17/12/2020,Germany,26923,1406161,698,24125
16/12/2020,Germany,27728,1379238,952,23427
15/12/2020,Germany,14432,1351510,500,22475
14/12/2020,Germany,16362,1337078,188,21975
13/12/2020,Germany,20200,1320716,321,21787
12/12/2020,Germany,28438,1300516,496,21466
11/12/2020,Germany,29875,1272078,598,20970
10/12/2020,Germany,23679,1242203,440,20372
09/12/2020,Germany,20815,1218524,590,19932
08/12/2020,Germany,14055,1197709,423,19342
07/12/2020,Germany,12332,1183654,147,18919
06/12/2020,Germany,17767,1171322,255,18772
05/12/2020,Germany,23318,1153555,483,18517
04/12/2020,Germany,23448,1130237,432,18034
03/12/2020,Germany,22046,1106789,479,17602
02/12/2020,Germany,17270,1084743,487,17123
01/12/2020,Germany,13604,1067473,388,16636
30/11/2020,Germany,11169,1053869,125,16248
29/11/2020,Germany,14611,1042700,158,16123
28/11/2020,Germany,21695,1028089,379,15965
27/11/2020,Germany,22806,1006394,426,15586
26/11/2020,Germany,22268,983588,389,15160
25/11/2020,Germany,18633,961320,410,14771
24/11/2020,Germany,13554,942687,249,14361
23/11/2020,Germany,10864,929133,90,14112
22/11/2020,Germany,15741,918269,138,14022
21/11/2020,Germany,22964,902528,254,13884
20/11/2020,Germany,23648,879564,260,13630
19/11/2020,Germany,22609,855916,251,13370
18/11/2020,Germany,17561,833307,305,13119
