Date,State/Union Territory,Cured,Death,Total Cases,Total Samples,Positive,Negative
01/04/2020,Himachal Pradesh,0,1,3,2621.0,NA,NA
02/04/2020,Himachal Pradesh,1,1,3,1800.0,1175,132.0
03/04/2020,Himachal Pradesh,1,1,6,1325.0,938,44.0
04/04/2020,Himachal Pradesh,1,1,6,9744.0,8586,306.0
05/04/2020,Himachal Pradesh,1,1,6,3037.0,2299,32.0
06/04/2020,Himachal Pradesh,2,1,13,10716.0,9607,327.0
07/04/2020,Himachal Pradesh,2,1,13,9041.0,7308,576.0
08/04/2020,Himachal Pradesh,2,1,18,4596.0,NA,38.0
09/04/2020,Himachal Pradesh,2,1,18,206.0,185,1.0
10/04/2020,Himachal Pradesh,6,1,28,6374.0,6009,365.0
11/04/2020,Himachal Pradesh,6,1,28,6958.0,6577,381.0
12/04/2020,Himachal Pradesh,6,1,32,6958.0,6553,405.0
13/04/2020,Himachal Pradesh,13,1,32,8755.0,8323,432.0
14/04/2020,Himachal Pradesh,13,1,32,10505.0,10032,473.0
15/04/2020,Himachal Pradesh,13,1,33,11613.0,11088,525.0
16/04/2020,Himachal Pradesh,16,1,35,20235.0,19701,534.0
17/04/2020,Himachal Pradesh,16,1,35,1403.0,1210,12.0
18/04/2020,Himachal Pradesh,16,1,38,21450.0,20487,603.0
19/04/2020,Himachal Pradesh,16,1,39,26958.0,26311,647.0
20/04/2020,Himachal Pradesh,16,1,39,30733.0,30011,722.0
21/04/2020,Himachal Pradesh,16,1,39,35755.0,34998,757.0
22/04/2020,Himachal Pradesh,16,1,39,41512.0,40699,813.0
23/04/2020,Himachal Pradesh,18,1,40,48032.0,47139,893.0
24/04/2020,Himachal Pradesh,18,1,40,2679.0,NA,27.0
25/04/2020,Himachal Pradesh,18,1,40,61266.0,60250,1016.0
26/04/2020,Himachal Pradesh,22,1,40,68034.0,66937,1097.0
27/04/2020,Himachal Pradesh,22,1,40,2848.0,NA,33.0
28/04/2020,Himachal Pradesh,22,1,40,80334.0,79075,1259.0
29/04/2020,Himachal Pradesh,25,1,40,88061.0,86729,1332.0
30/04/2020,Himachal Pradesh,25,1,40,94558.0,93155,1403.0
01/05/2020,Himachal Pradesh,28,1,40,3754.0,NA,33.0
02/05/2020,Himachal Pradesh,30,1,40,108403.0,106878,1525.0
03/05/2020,Himachal Pradesh,33,1,40,114937.0,113354,1583.0
04/05/2020,Himachal Pradesh,34,1,40,125229.0,123579,1650.0
05/05/2020,Himachal Pradesh,38,1,41,133492.0,131775,1717.0
06/05/2020,Himachal Pradesh,38,2,42,141274.0,139497,1777.0
07/05/2020,Himachal Pradesh,38,2,45,149361.0,147528,1833.0
08/05/2020,Himachal Pradesh,38,2,46,156681.0,154794,1887.0
09/05/2020,Himachal Pradesh,38,2,50,165069.0,163139,1930.0
10/05/2020,Himachal Pradesh,38,2,50,173735.0,171755,1980.0
11/05/2020,Himachal Pradesh,39,2,55,181144.0,179126,2018.0
12/05/2020,Himachal Pradesh,39,2,59,191874.0,189823,2051.0
13/05/2020,Himachal Pradesh,39,2,65,201196.0,199059,2137.0
14/05/2020,Himachal Pradesh,39,2,66,210452.0,208247,2100.0
15/05/2020,Himachal Pradesh,39,2,74,219490.0,217183,2157.0
16/05/2020,Himachal Pradesh,39,3,76,6677.0,NA,33.0
17/05/2020,Himachal Pradesh,43,3,78,238998.0,236618,2230.0
18/05/2020,Himachal Pradesh,44,3,80,248771.0,246279,2282.0
19/05/2020,Himachal Pradesh,44,3,90,6965.0,NA,33.0
20/05/2020,Himachal Pradesh,47,3,92,7082.0,NA,33.0
21/05/2020,Himachal Pradesh,54,3,110,7167.0,NA,33.0
22/05/2020,Himachal Pradesh,59,3,152,7263.0,NA,33.0
23/05/2020,Himachal Pradesh,59,3,168,7327.0,NA,33.0
24/05/2020,Himachal Pradesh,61,3,185,7327.0,NA,33.0
25/05/2020,Himachal Pradesh,63,3,203,7363.0,NA,33.0
