Date,State/Union Territory,Cured,Death,Total Cases,Total Samples,Positive,Negative
01/04/2020,[1],8,3,101,11245.0,7824.0,302.0
02/04/2020,[1],9,3,110,14906.0,11386.0,510.0
03/04/2020,[1],10,3,124,20130.0,17242.0,898.0
04/04/2020,[1],12,3,128,10786.0,8586.0,306.0
05/04/2020,[1],12,4,144,56418.0,50850.0,1461.0
06/04/2020,[1],12,4,151,29698.0,25462.0,1196.0
07/04/2020,[1],25,4,175,76933.0,65229.0,2974.0
08/04/2020,[1],25,4,175,63058.0,52602.0,2473.0
09/04/2020,[1],28,5,181,109609.0,91635.0,4681.0
10/04/2020,[1],30,6,197,155696.0,134546.0,6490.0
11/04/2020,[1],37,6,214,171571.0,146496.0,7830.0
12/04/2020,[1],37,6,226,191530.0,153599.0,8380.0
13/04/2020,[1],59,6,247,210051.0,167714.0,9389.0
14/04/2020,[1],65,9,258,235088.0,199078.0,10408.0
15/04/2020,[1],75,11,277,261132.0,222060.0,11409.0
16/04/2020,[1],82,13,315,299725.0,255703.0,12348.0
17/04/2020,[1],82,13,353,333455.0,264619.0,13437.0
18/04/2020,[1],92,13,371,363532.0,309477.0,14481.0
19/04/2020,[1],104,14,384,423547.0,335108.0,16723.0
20/04/2020,[1],111,16,395,446947.0,375924.0,17147.0
21/04/2020,[1],114,17,415,486257.0,412613.0,18533.0
22/04/2020,[1],129,17,425,530890.0,451079.0,19912.0
23/04/2020,[1],141,17,443,574814.0,490909.0,20749.0
24/04/2020,[1],150,18,463,638084.0,540710.0,22995.0
25/04/2020,[1],153,18,489,686738.0,585087.0,24387.0
26/04/2020,[1],177,18,501,734260.0,626892.0,26643.0
27/04/2020,[1],188,20,511,793217.0,678886.0,27787.0
28/04/2020,[1],198,20,520,852688.0,722671.0,30513.0
29/04/2020,[1],215,20,532,928504.0,789081.0,32403.0
30/04/2020,[1],223,21,557,921166.0,696073.0,29634.0
01/05/2020,[1],235,22,576,992162.0,856259.0,30619.0
02/05/2020,[1],251,22,589,1098784.0,899269.0,37706.0
03/05/2020,[1],282,25,606,1184796.0,975351.0,40611.0
04/05/2020,[1],304,26,642,1255685.0,1032764.0,43677.0
05/05/2020,[1],324,28,659,1348368.0,1113262.0,47219.0
06/05/2020,[1],331,29,671,1402462.0,1155693.0,50487.0
07/05/2020,[1],354,29,693,1460624.0,1202873.0,53804.0
08/05/2020,[1],366,30,705,1568354.0,1290756.0,57260.0
09/05/2020,[1],376,30,753,1666311.0,1374140.0,60403.0
10/05/2020,[1],386,30,794,1764615.0,1449455.0,63879.0
11/05/2020,[1],424,31,848,1805955.0,1470167.0,69313.0
12/05/2020,[1],426,31,862,1907304.0,1374005.0,71738.0
13/05/2020,[1],433,31,925,1989665.0,1614912.0,74838.0
14/05/2020,[1],451,33,959,2114238.0,1713210.0,78723.0
15/05/2020,[1],460,35,987,2218603.0,1790456.0,82502.0
16/05/2020,[1],480,36,1056,2121788.0,1642193.0,86619.0
17/05/2020,[1],496,36,1092,2398207.0,1922991.0,91346.0
18/05/2020,[1],509,37,1147,2547885.0,2042852.0,96367.0
19/05/2020,[1],530,37,1246,2668559.0,2126792.0,101744.0
20/05/2020,[1],544,40,1397,2742625.0,2170912.0,106539.0
21/05/2020,[1],556,41,1462,2904226.0,2317158.0,112463.0
22/05/2020,[1],571,41,1605,3037280.0,2416250.0,118236.0
23/05/2020,[1],597,41,1743,3161162.0,2513672.0,124727.0
24/05/2020,[1],608,42,1959,3237938.0,2570040.0,130715.0
25/05/2020,[1],654,42,2089,3347048.0,2716225.0,134943.0
26/05/2020,[1],705,44,2182,3451377.0,2622010.0,140379.0
27/05/2020,[1],748,44,2283,3559108.0,2635166.0,148559.0
28/05/2020,[1],781,47,2418,3688518.0,2727382.0,154741.0
29/05/2020,[1],834,47,2533,3922344.0,2845112.0,162925.0
30/05/2020,[1],894,48,2781,4056513.0,2943232.0,170643.0
31/05/2020,[1],997,48,2922,4207964.0,2949429.0,179065.0
01/06/2020,[1],1218,51,3221,4225883.0,3041402.0,185274.0
02/06/2020,[1],1328,52,3408,4483095.0,3244172.0,194768.0
03/06/2020,[1],1403,52,3796,4653729.0,3353894.0,203174.0
04/06/2020,[1],1514,53,4063,4791662.0,3455456.0,212030.0
05/06/2020,[1],1610,57,4320,4831830.0,3450532.0,219738.0
06/06/2020,[1],1688,57,4835,5111270.0,3689885.0,230930.0
07/06/2020,[1],1968,59,5213,5271947.0,3788429.0,240947.0
08/06/2020,[1],2132,61,5452,5259029.0,3763835.0,247573.0
09/06/2020,[1],2519,64,5760,5578130.0,4015373.0,259621.0
10/06/2020,[1],2604,66,5921,5573366.0,3975804.0,265675.0
11/06/2020,[1],2862,69,6041,5905817.0,4255878.0,279970.0
12/06/2020,[1],2977,72,6245,6043276.0,4368794.0,291200.0
13/06/2020,[1],3440,79,6516,6059860.0,4080770.0,300133.0
14/06/2020,[1],3648,81,6824,6201470.0,4176440.0,311407.0
15/06/2020,[1],3955,86,7000,6575157.0,3831555.0,326515.0
16/06/2020,[1],4135,89,7213,6759874.0,3957011.0,341543.0
17/06/2020,[1],4456,94,7530,6271879.0,3464339.0,240553.0
18/06/2020,[1],4804,102,7734,7119583.0,4108482.0,367847.0
19/06/2020,[1],4983,114,7944,7354999.0,4355201.0,382747.0
20/06/2020,[1],5210,124,8281,7567499.0,4379108.0,397383.0
21/06/2020,[1],5391,132,8697,7813601.0,4624996.0,413601.0
22/06/2020,[1],5618,137,9150,8014751.0,4716400.0,428576.0
23/06/2020,[1],5730,142,9399,8230906.0,4824962.0,451402.0
24/06/2020,[1],6004,150,9721,8472584.0,4966665.0,468635.0
25/06/2020,[1],6151,164,10118,8711252.0,4957806.0,486651.0
26/06/2020,[1],6670,170,10560,8906989.0,5406116.0,503627.0
27/06/2020,[1],6916,180,11005,9206955.0,5235180.0,524258.0
28/06/2020,[1],7287,191,11923,9387560.0,5354769.0,542569.0
29/06/2020,[1],7507,207,13190,9676247.0,5487919.0,563128.0
30/06/2020,[1],7683,226,14295,9852284.0,5596008.0,578943.0
01/07/2020,[1],7918,246,15242,10124488.0,4619635.0,599894.0
02/07/2020,[1],8063,253,16514,10427778.0,4717738.0,622991.0
03/07/2020,[1],8334,272,18016,10732639.0,5211065.0,646701.0
04/07/2020,[1],8805,293,19710,11019653.0,5336546.0,671418.0
05/07/2020,[1],9244,335,21549,11263074.0,5461790.0,694715.0
06/07/2020,[1],9847,372,23474,11547177.0,5548854.0,717715.0
07/07/2020,[1],10527,401,25317,11842968.0,5675965.0,741326.0
08/07/2020,[1],11098,416,26815,11613814.0,5811304.0,752482.0
09/07/2020,[1],11876,470,28877,12481304.0,5942920.0,794140.0
10/07/2020,[1],12833,486,31105,12806689.0,6081288.0,821880.0
11/07/2020,[1],13836,543,33418,13144144.0,6207488.0,851249.0
12/07/2020,[1],14716,613,36216,13466295.0,6354981.0,880294.0
13/07/2020,[1],15409,684,38843,13648200.0,6490526.0,907443.0
14/07/2020,[1],16248,757,41581,13994355.0,6628139.0,937568.0
15/07/2020,[1],17390,842,44077,14419915.0,6790892.0,971306.0
16/07/2020,[1],18466,928,47253,14750825.0,6721439.0,1006099.0
17/07/2020,[1],19729,1032,51422,15199276.0,6953113.0,996541.0
18/07/2020,[1],20757,1147,55115,15635532.0,7139099.0,1081187.0
19/07/2020,[1],21775,1240,59652,16034059.0,7312349.0,1122041.0
20/07/2020,[1],23065,1331,63772,16409115.0,7475720.0,1159304.0
21/07/2020,[1],23795,1403,67420,16834368.0,7624855.0,1144900.0
22/07/2020,[1],25459,1464,71069,17250758.0,7812153.0,1244193.0
23/07/2020,[1],27239,1519,75833,17744783.0,6322404.0,1292437.0
24/07/2020,[1],29310,1616,80863,17116264.0,7182293.0,1256326.0
25/07/2020,[1],31347,1724,85870,18740018.0,7397300.0,1392292.0
26/07/2020,[1],33750,1796,90942,18851296.0,6956946.0,1386986.0
27/07/2020,[1],35838,1878,96141,19680220.0,7693044.0,1487525.0
28/07/2020,[1],37685,1953,101465,20256586.0,8068512.0,1538169.0
29/07/2020,[1],40504,2055,107001,20837577.0,8142221.0,1591740.0
30/07/2020,[1],42901,2147,112504,21370850.0,8389850.0,1644497.0
31/07/2020,[1],46694,2230,118632,22084442.0,8600910.0,1482436.0
01/08/2020,[1],49788,2314,124115,22610981.0,8794403.0,1756579.0
02/08/2020,[1],53648,2412,129287,23201000.0,8990949.0,1809176.0
03/08/2020,[1],57725,2496,134819,23632429.0,9016303.0,1857168.0
04/08/2020,[1],62500,2594,139571,24378284.0,9371093.0,1914957.0
05/08/2020,[1],69272,2704,145830,22258153.0,9542194.0,1867064.0
06/08/2020,[1],74679,2804,151449,25665629.0,9760822.0,2034137.0
07/08/2020,[1],80281,2897,158254,26411238.0,9998514.0,2096582.0
08/08/2020,[1],84232,2998,164924,27167675.0,10234813.0,2162011.0
09/08/2020,[1],89238,3091,172102,27892592.0,10463289.0,2100722.0
10/08/2020,[1],93908,3198,178087,28518106.0,10600789.0,2276534.0
11/08/2020,[1],99126,3312,182354,29283316.0,10843608.0,1061672.0
12/08/2020,[1],105599,3398,188611,30039664.0,11099612.0,1006466.0
13/08/2020,[1],112633,3510,196494,31001180.0,11341102.0,1596389.0
14/08/2020,[1],121242,3613,203200,31875610.0,11611412.0,1682257.0
15/08/2020,[1],128182,3717,211108,32683156.0,11849455.0,1990557.0
16/08/2020,[1],134811,3831,219926,33362749.0,12051894.0,1792862.0
17/08/2020,[1],141491,3947,226966,33925374.0,12251052.0,1427323.0
18/08/2020,[1],148562,4062,233283,34952698.0,11184409.0,1716083.0
19/08/2020,[1],156949,4201,240948,35855294.0,11395677.0,1420161.0
20/08/2020,[1],164150,4327,249590,36760699.0,11653171.0,1428718.0
21/08/2020,[1],170381,4429,256975,37715008.0,11824869.0,2073878.0
22/08/2020,[1],176942,4522,264546,38670961.0,12100775.0,1219592.0
23/08/2020,[1],184568,4615,271876,39423675.0,12231130.0,1094083.0
24/08/2020,[1],189564,4683,277814,40317425.0,12475760.0,1113808.0
25/08/2020,[1],197625,4810,283665,41232044.0,12680133.0,1131556.0
26/08/2020,[1],204439,4958,291826,42317536.0,12953140.0,1161404.0
27/08/2020,[1],211688,5091,300406,43337541.0,13200739.0,1188478.0
28/08/2020,[1],219554,5232,309792,44415809.0,13448834.0,1214914.0
29/08/2020,[1],227018,5368,318752,45479685.0,13696964.0,1242878.0
30/08/2020,[1],235128,5483,327076,46389172.0,13826003.0,1171120.0
31/08/2020,[1],242229,5589,335928,47522603.0,14234109.0,1123357.0
01/09/2020,[1],249467,5702,342423,48564012.0,14478977.0,1076633.0
02/09/2020,[1],254626,5837,351481,49626315.0,14714818.0,1099107.0
03/09/2020,[1],260913,5950,361341,50559820.0,14987126.0,1058545.0
04/09/2020,[1],268035,6054,370206,51735722.0,15245952.0,981745.0
05/09/2020,[1],274196,6170,379486,53075043.0,15450474.0,1168450.0
06/09/2020,[1],283298,6298,389232,54097840.0,18364217.0,1214469.0
07/09/2020,[1],292873,6393,398551,55189589.0,18631562.0,1157710.0
08/09/2020,[1],300770,6534,404324,56395984.0,19120371.0,1182983.0
09/09/2020,[1],308573,6680,412190,57388945.0,16596005.0,1215589.0
10/09/2020,[1],315433,6808,421730,58707427.0,12942652.0,229630.0
11/09/2020,[1],322454,6937,430947,59862460.0,17172977.0,1250231.0
12/09/2020,[1],334999,7067,440411,61030003.0,17500190.0,1277062.0
13/09/2020,[1],344556,7161,449551,62034362.0,17666608.0,1304724.0
14/09/2020,[1],352958,7265,459445,63114431.0,18001278.0,1328693.0
15/09/2020,[1],361823,7384,467689,64290797.0,18308243.0,1354307.0
16/09/2020,[1],369229,7481,475265,65479205.0,18601685.0,1383366.0
17/09/2020,[1],375809,7536,484990,66680398.0,18922774.0,1437800.0
18/09/2020,[1],383077,7629,494356,67836613.0,19218322.0,1465851.0
19/09/2020,[1],394026,7808,502982,69012671.0,15106805.0,1472062.0
20/09/2020,[1],404841,7922,511346,70112362.0,15264381.0,1521336.0
21/09/2020,[1],413452,8023,519537,71278560.0,20123815.0,1541961.0
22/09/2020,[1],423377,8145,526876,72402446.0,20341726.0,1564015.0
23/09/2020,[1],432450,8228,533850,73700979.0,20708027.0,1595822.0
24/09/2020,[1],437910,8266,540847,74916716.0,21000646.0,1494935.0
25/09/2020,[1],444658,8331,548557,75940733.0,21095549.0,1725293.0
26/09/2020,[1],450302,8417,557212,77425392.0,21501688.0,1763237.0
27/09/2020,[1],455719,8503,566023,78477725.0,21838180.0,1654529.0
28/09/2020,[1],462241,8582,575566,79789543.0,22124503.0,1807623.0
29/09/2020,[1],469750,8641,582458,81140791.0,22598680.0,1837509.0
30/09/2020,[1],476378,8777,592911,82422105.0,22839239.0,1726527.0
01/10/2020,[1],485268,8864,601767,83630014.0,23131222.0,1668270.0
02/10/2020,[1],492412,8994,611837,84709067.0,23311147.0,1783777.0
03/10/2020,[1],499506,9119,620630,85734518.0,23530851.0,1802829.0
04/10/2020,[1],508495,9219,630516,86891921.0,18420247.0,1825571.0
05/10/2020,[1],515782,9286,640661,88000167.0,24154536.0,1842046.0
06/10/2020,[1],522846,9370,647712,89203325.0,24498945.0,1868448.0
07/10/2020,[1],533074,9461,657705,90393720.0,24778312.0,1890505.0
08/10/2020,[1],542906,9574,668652,91590578.0,25069835.0,1910720.0
09/10/2020,[1],552519,9675,679356,92744895.0,25308925.0,1933498.0
10/10/2020,[1],561610,9789,690269,93963935.0,19861066.0,1924536.0
11/10/2020,[1],569947,9891,700786,94900336.0,25706989.0,1886633.0
12/10/2020,[1],580054,9966,710309,96033159.0,26030427.0,2114375.0
13/10/2020,[1],592084,10036,717915,97301174.0,26368117.0,2011493.0
14/10/2020,[1],602505,10123,726106,98254735.0,26653060.0,2029362.0
15/10/2020,[1],611167,10198,735371,99522440.0,26764757.0,2048394.0
16/10/2020,[1],620008,10283,743848,100587750.0,26956545.0,2068061.0
17/10/2020,[1],628588,10356,751390,102021546.0,27503876.0,2088238.0
18/10/2020,[1],637481,10427,758574,102835418.0,27579711.0,2105660.0
19/10/2020,[1],645825,10478,765586,104077022.0,21390106.0,486454.0
20/10/2020,[1],653829,10542,770604,105205977.0,28241365.0,2133048.0
21/10/2020,[1],662329,10608,776901,106365641.0,21783224.0,529668.0
22/10/2020,[1],671618,10696,782773,107166602.0,22024368.0,538052.0
23/10/2020,[1],684835,10770,788551,108806121.0,22322055.0,2179868.0
24/10/2020,[1],693584,10821,793907,109763264.0,15663792.0,2195132.0
25/10/2020,[1],700737,10873,798378,110963079.0,15975256.0,563461.0
26/10/2020,[1],710843,10905,802817,111383719.0,15998844.0,537902.0
27/10/2020,[1],719558,10947,805947,112723131.0,23021908.0,574135.0
28/10/2020,[1],727298,10991,809638,113522775.0,23255118.0,583547.0
29/10/2020,[1],733558,11046,812784,115008861.0,23496990.0,591272.0
30/10/2020,[1],741219,11091,816809,115786722.0,23735513.0,598491.0
31/10/2020,[1],749740,11140,820398,117306236.0,16799248.0,607122.0
01/11/2020,[1],757208,11168,823412,118276398.0,16802721.0,614654.0
02/11/2020,[1],765261,11192,827064,119334532.0,24404576.0,619335.0
03/11/2020,[1],773595,11221,829640,120483879.0,24630552.0,595914.0
04/11/2020,[1],780735,11247,832396,121722609.0,24929067.0,604856.0
05/11/2020,[1],788780,11281,835773,122448813.0,25089348.0,645420.0
06/11/2020,[1],794503,11312,838929,124008572.0,25317012.0,653031.0
07/11/2020,[1],797204,11347,841889,125248584.0,17862482.0,660753.0
08/11/2020,[1],799439,11369,844147,126151187.0,25554443.0,666583.0
09/11/2020,[1],801799,11391,846887,127308183.0,25932567.0,670524.0
10/11/2020,[1],804485,11410,848850,128060467.0,26217310.0,676981.0
