Date,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Population,DateTime
1,USA,"24,102,429",N/A,"401,856",N/A,"14,228,969","9,471,604","332,055,650",2021-01-16 06:52:45.865911
2,India,"10,543,659",N/A,"152,130",N/A,"10,179,715","211,814","1,387,345,526",2021-01-16 06:52:45.877045
3,Brazil,"8,394,253",N/A,"208,291",N/A,"7,361,379","824,583","213,378,456",2021-01-16 06:52:45.885681
4,Russia,"3,520,531",N/A,"64,495",N/A,"2,909,680","546,356","145,968,527",2021-01-16 06:52:45.892690
5,UK,"3,316,019",N/A,"87,295",N/A,"1,503,654","1,725,070","68,079,549",2021-01-16 06:52:45.901333
6,France,"2,872,941",N/A,"69,949",N/A,"208,071","2,594,921","65,352,052",2021-01-16 06:52:45.909031
7,Turkey,"2,373,115",N/A,"23,664",N/A,"2,246,047","103,404","84,829,800",2021-01-16 06:52:45.916730
8,Italy,"2,352,423",N/A,"81,325",N/A,"1,713,030","558,068","60,413,371",2021-01-16 06:52:45.924994
9,Spain,"2,252,164",N/A,"53,314",N/A,N/A,N/A,"46,764,637",2021-01-16 06:52:45.934030
10,Germany,"2,023,802",N/A,"46,537",N/A,"1,641,200","336,065","83,929,530",2021-01-16 06:52:45.942389
11,Colombia,"1,870,179",N/A,"47,868",N/A,"1,698,457","123,854","51,176,175",2021-01-16 06:52:45.951051
12,Argentina,"1,783,047",N/A,"45,227",N/A,"1,561,963","175,857","45,420,273",2021-01-16 06:52:45.960818
13,Mexico,"1,609,735","+21,366","139,022","+1,106","1,199,810","270,903","129,665,371",2021-01-16 06:52:45.970240
14,Poland,"1,422,320",N/A,"32,844",N/A,"1,164,650","224,826","37,824,025",2021-01-16 06:52:45.979680
15,Iran,"1,318,295",N/A,"56,621",N/A,"1,107,011","154,663","84,573,460",2021-01-16 06:52:45.992424
16,South Africa,"1,311,686",N/A,"36,467",N/A,"1,062,690","212,529","59,712,519",2021-01-16 06:52:46.007172
17,Ukraine,"1,154,692","+7,729","20,686",+144,"857,183","276,823","43,590,175",2021-01-16 06:52:46.018293
18,Peru,"1,056,023",N/A,"38,654",N/A,"978,072","39,297","33,219,669",2021-01-16 06:52:46.031036
19,Netherlands,"901,696",N/A,"12,868",N/A,N/A,N/A,"17,155,488",2021-01-16 06:52:46.042592
20,Indonesia,"882,418",N/A,"25,484",N/A,"718,696","138,238","275,087,801",2021-01-16 06:52:46.055472
21,Czechia,"874,605",N/A,"14,029",N/A,"717,569","143,007","10,719,787",2021-01-16 06:52:46.066964
22,Canada,"695,707",N/A,"17,729",N/A,"601,911","76,067","37,921,334",2021-01-16 06:52:46.079256
23,Romania,"688,270",N/A,"17,098",N/A,"618,673","52,499","19,167,531",2021-01-16 06:52:46.089824
24,Belgium,"675,089","+2,203","20,352",+58,"46,959","607,778","11,617,013",2021-01-16 06:52:46.101344
25,Chile,"661,180",N/A,"17,369",N/A,"617,372","26,439","19,205,062",2021-01-16 06:52:46.113589
26,Iraq,"606,991",N/A,"12,932",N/A,"565,889","28,170","40,706,500",2021-01-16 06:52:46.125615
27,Israel,"535,049",N/A,"3,910",N/A,"453,358","77,781","9,197,590",2021-01-16 06:52:46.138381
28,Portugal,"528,469",N/A,"8,543",N/A,"394,065","125,861","10,180,491",2021-01-16 06:52:46.150349
29,Bangladesh,"526,485",N/A,"7,862",N/A,"471,123","47,500","165,577,081",2021-01-16 06:52:46.162525
30,Sweden,"523,486",N/A,"10,323",N/A,N/A,N/A,"10,133,420",2021-01-16 06:52:46.174400
31,Pakistan,"516,770","+2,432","10,908",+45,"472,099","33,763","223,197,455",2021-01-16 06:52:46.186802
32,Philippines,"496,646",N/A,"9,876",N/A,"459,737","27,033","110,368,349",2021-01-16 06:52:46.198777
33,Switzerland,"495,228",N/A,"8,646",N/A,"317,600","168,982","8,688,926",2021-01-16 06:52:46.212808
34,Morocco,"457,625",N/A,"7,888",N/A,"432,576","17,161","37,146,951",2021-01-16 06:52:46.225663
35,Austria,"390,788",N/A,"6,987",N/A,"365,214","18,587","9,034,279",2021-01-16 06:52:46.239040
36,Serbia,"369,823",N/A,"3,708",N/A,"31,536","334,579","8,718,160",2021-01-16 06:52:46.250163
37,Saudi Arabia,"364,613",N/A,"6,313",N/A,"356,382","1,918","35,106,061",2021-01-16 06:52:46.262872
38,Hungary,"349,149",N/A,"11,177",N/A,"225,021","112,951","9,646,973",2021-01-16 06:52:46.274365
39,Jordan,"312,851",N/A,"4,121",N/A,"295,705","13,025","10,257,937",2021-01-16 06:52:46.287073
40,Japan,"309,214",N/A,"4,315",N/A,"238,467","66,432","126,265,239",2021-01-16 06:52:46.299569
41,Panama,"293,592",N/A,"4,689",N/A,"234,295","54,608","4,351,367",2021-01-16 06:52:46.315260
42,Nepal,"266,816",N/A,"1,948",N/A,"260,567","4,301","29,418,744",2021-01-16 06:52:46.327764
43,UAE,"246,376",N/A,733,N/A,"218,988","26,655","9,954,960",2021-01-16 06:52:46.341552
44,Georgia,"245,789",N/A,"2,893",N/A,"229,196","13,700","3,984,993",2021-01-16 06:52:46.353377
45,Lebanon,"243,286",N/A,"1,825",N/A,"147,746","93,715","6,808,756",2021-01-16 06:52:46.365626
46,Ecuador,"226,866",N/A,"14,273",N/A,"193,581","19,012","17,787,475",2021-01-16 06:52:46.377800
47,Azerbaijan,"226,549",N/A,"2,983",N/A,"213,773","9,793","10,188,653",2021-01-16 06:52:46.389435
48,Croatia,"223,812",N/A,"4,550",N/A,"214,609","4,653","4,091,430",2021-01-16 06:52:46.402464
49,Belarus,"221,604",N/A,"1,564",N/A,"204,500","15,540","9,447,630",2021-01-16 06:52:46.414597
50,Slovakia,"220,707",N/A,"3,362",N/A,"163,323","54,022","5,461,082",2021-01-16 06:52:46.426925
51,Bulgaria,"211,503",N/A,"8,457",N/A,"156,030","47,016","6,919,835",2021-01-16 06:52:46.441010
52,Dominican Republic,"188,969",N/A,"2,432",N/A,"140,931","45,606","10,906,762",2021-01-16 06:52:46.453681
53,Denmark,"187,320",N/A,"1,720",N/A,"165,166","20,434","5,803,284",2021-01-16 06:52:46.465760
54,Costa Rica,"184,187",N/A,"2,416",N/A,"141,374","40,397","5,119,299",2021-01-16 06:52:46.478254
55,Bolivia,"183,589","+2,573","9,571",+41,"142,279","31,739","11,758,950",2021-01-16 06:52:46.492075
56,Tunisia,"175,065",N/A,"5,528",N/A,"125,635","43,902","11,885,503",2021-01-16 06:52:46.504701
57,Kazakhstan,"167,118",+972,"2,349",N/A,"152,437","12,332","18,898,053",2021-01-16 06:52:46.516834
58,Ireland,"166,548",N/A,"2,536",N/A,"23,364","140,648","4,967,603",2021-01-16 06:52:46.529466
59,Lithuania,"165,560",N/A,"2,376",N/A,"100,495","62,689","2,701,436",2021-01-16 06:52:46.542067
60,Armenia,"163,972",N/A,"2,974",N/A,"152,320","8,678","2,966,255",2021-01-16 06:52:46.563304
61,Kuwait,"156,964",N/A,947,N/A,"150,329","5,688","4,304,627",2021-01-16 06:52:46.577383
62,Egypt,"154,620",N/A,"8,473",N/A,"121,792","24,355","103,372,131",2021-01-16 06:52:46.591203
63,Moldova,"152,263",N/A,"3,228",N/A,"141,975","7,060","4,028,851",2021-01-16 06:52:46.605361
64,Palestine,"151,142",N/A,"1,687",N/A,"137,648","11,807","5,164,968",2021-01-16 06:52:46.623377
65,Malaysia,"151,066",N/A,586,N/A,"115,227","35,253","32,589,917",2021-01-16 06:52:46.633989
66,Greece,"147,860",N/A,"5,421",N/A,"9,989","132,450","10,395,249",2021-01-16 06:52:46.645843
67,Guatemala,"147,560",N/A,"5,177",N/A,"133,217","9,166","18,093,795",2021-01-16 06:52:46.656788
68,Slovenia,"147,016",N/A,"3,121",N/A,"120,894","23,001","2,079,094",2021-01-16 06:52:46.667196
69,Qatar,"146,885",N/A,246,N/A,"143,435","3,204","2,807,805",2021-01-16 06:52:46.678359
70,Myanmar,"133,378",N/A,"2,926",N/A,"116,610","13,842","54,607,573",2021-01-16 06:52:46.689278
71,Honduras,"132,412",+449,"3,344",+9,"60,056","69,012","9,989,483",2021-01-16 06:52:46.700103
72,Oman,"131,264",N/A,"1,509",N/A,"123,593","6,162","5,176,115",2021-01-16 06:52:46.713365
73,Ethiopia,"130,326",N/A,"2,023",N/A,"115,428","12,875","116,487,982",2021-01-16 06:52:46.724726
