Date,State/Union Territory,Cured,Death,Total Cases,Total Samples,Positive,Negative
01/04/2020,[1],39,9,302,11245.0,7824.0,302.0
02/04/2020,[1],42,13,335,14906.0,11386.0,510.0
03/04/2020,[1],42,16,335,20130.0,17242.0,898.0
04/04/2020,[1],42,24,490,10786.0,8586.0,306.0
05/04/2020,[1],42,24,490,56418.0,50850.0,1461.0
06/04/2020,[1],56,45,748,29698.0,25462.0,1196.0
07/04/2020,[1],56,48,868,76933.0,65229.0,2974.0
08/04/2020,[1],79,64,1018,63058.0,52602.0,2473.0
09/04/2020,[1],117,72,1135,109609.0,91635.0,4681.0
10/04/2020,[1],125,97,1364,155696.0,134546.0,6490.0
11/04/2020,[1],188,110,1574,171571.0,146496.0,7830.0
12/04/2020,[1],208,127,1761,191530.0,153599.0,8380.0
13/04/2020,[1],217,149,1985,210051.0,167714.0,9389.0
14/04/2020,[1],229,160,2337,235088.0,199078.0,10408.0
15/04/2020,[1],259,178,2687,261132.0,222060.0,11409.0
16/04/2020,[1],295,187,2919,299725.0,255703.0,12348.0
17/04/2020,[1],300,194,3205,333455.0,264619.0,13437.0
18/04/2020,[1],331,201,3323,363532.0,309477.0,14481.0
19/04/2020,[1],365,211,3651,423547.0,335108.0,16723.0
20/04/2020,[1],507,223,4203,446947.0,375924.0,17147.0
21/04/2020,[1],572,232,4669,486257.0,412613.0,18533.0
22/04/2020,[1],722,251,5221,530890.0,451079.0,19912.0
23/04/2020,[1],789,269,5652,574814.0,490909.0,20749.0
24/04/2020,[1],840,283,6430,638084.0,540710.0,22995.0
25/04/2020,[1],957,301,6817,686738.0,585087.0,24387.0
26/04/2020,[1],1076,323,7628,734260.0,626892.0,26643.0
27/04/2020,[1],1188,342,8068,793217.0,678886.0,27787.0
28/04/2020,[1],1282,369,8590,852688.0,722671.0,30513.0
29/04/2020,[1],1388,400,9318,928504.0,789081.0,32403.0
30/04/2020,[1],1593,432,9915,921166.0,696073.0,29634.0
01/05/2020,[1],1773,459,10498,992162.0,856259.0,30619.0
02/05/2020,[1],1879,485,11506,1098784.0,899269.0,37706.0
03/05/2020,[1],2000,521,12296,1184796.0,975351.0,40611.0
04/05/2020,[1],2115,548,12974,1255685.0,1032764.0,43677.0
05/05/2020,[1],2465,583,14541,1348368.0,1113262.0,47219.0
06/05/2020,[1],2819,617,15525,1402462.0,1155693.0,50487.0
07/05/2020,[1],3094,651,16758,1460624.0,1202873.0,53804.0
08/05/2020,[1],3301,694,17974,1568354.0,1290756.0,57260.0
09/05/2020,[1],3470,731,19063,1666311.0,1374140.0,60403.0
10/05/2020,[1],3800,779,20228,1764615.0,1449455.0,63879.0
11/05/2020,[1],4199,832,22171,1805955.0,1470167.0,69313.0
12/05/2020,[1],4786,868,23401,1907304.0,1374005.0,71738.0
13/05/2020,[1],5125,921,24427,1989665.0,1614912.0,74838.0
14/05/2020,[1],5547,975,25922,2114238.0,1713210.0,78723.0
15/05/2020,[1],6059,1019,27524,2218603.0,1790456.0,82502.0
16/05/2020,[1],6564,1068,29100,2121788.0,1642193.0,86619.0
17/05/2020,[1],7088,1135,30706,2398207.0,1922991.0,91346.0
18/05/2020,[1],7688,1198,33053,2547885.0,2042852.0,96367.0
19/05/2020,[1],8437,1249,35058,2668559.0,2126792.0,101744.0
20/05/2020,[1],9639,1325,37136,2742625.0,2170912.0,106539.0
21/05/2020,[1],10318,1390,39297,2904226.0,2317158.0,112463.0
22/05/2020,[1],11726,1454,41642,3037280.0,2416250.0,118236.0
23/05/2020,[1],12583,1517,44582,3161162.0,2513672.0,124727.0
24/05/2020,[1],13404,1577,47190,3237938.0,2570040.0,130715.0
25/05/2020,[1],14600,1635,50231,3347048.0,2716225.0,134943.0
26/05/2020,[1],15786,1695,52667,3451377.0,2622010.0,140379.0
27/05/2020,[1],16954,1792,54758,3559108.0,2635166.0,148559.0
28/05/2020,[1],17918,1897,56948,3688518.0,2727382.0,154741.0
29/05/2020,[1],18616,1982,59546,3922344.0,2845112.0,162925.0
30/05/2020,[1],26997,2098,62228,4056513.0,2943232.0,170643.0
31/05/2020,[1],28081,2197,65168,4207964.0,2949429.0,179065.0
01/06/2020,[1],29329,2286,67655,4225883.0,3041402.0,185274.0
02/06/2020,[1],30108,2362,70013,4483095.0,3244172.0,194768.0
03/06/2020,[1],31333,2465,72300,4653729.0,3353894.0,203174.0
04/06/2020,[1],32329,2587,74860,4791662.0,3455456.0,212030.0
05/06/2020,[1],33681,2710,77793,4831830.0,3450532.0,219738.0
06/06/2020,[1],35156,2849,80229,5111270.0,3689885.0,230930.0
07/06/2020,[1],37390,2969,82968,5271947.0,3788429.0,240947.0
08/06/2020,[1],39314,3060,85975,5259029.0,3763835.0,247573.0
09/06/2020,[1],40975,3169,88528,5578130.0,4015373.0,259621.0
10/06/2020,[1],42638,3289,90787,5573366.0,3975804.0,265675.0
11/06/2020,[1],44517,3438,94041,5905817.0,4255878.0,279970.0
12/06/2020,[1],46078,3590,97648,6043276.0,4368794.0,291200.0
13/06/2020,[1],47796,3717,101141,6059860.0,4080770.0,300133.0
14/06/2020,[1],49346,3830,104568,6201470.0,4176440.0,311407.0
15/06/2020,[1],50978,3950,107958,6575157.0,3831555.0,326515.0
16/06/2020,[1],56049,4128,110744,6759874.0,3957011.0,341543.0
17/06/2020,[1],57851,5537,113445,6271879.0,3464339.0,240553.0
18/06/2020,[1],59166,5651,116752,7119583.0,4108482.0,367847.0
19/06/2020,[1],60838,5751,120504,7354999.0,4355201.0,382747.0
20/06/2020,[1],62773,5893,124331,7567499.0,4379108.0,397383.0
21/06/2020,[1],64153,5984,128205,7813601.0,4624996.0,413601.0
22/06/2020,[1],65744,6170,132075,8014751.0,4716400.0,428576.0
23/06/2020,[1],67706,6283,135796,8230906.0,4824962.0,451402.0
24/06/2020,[1],69631,6531,139010,8472584.0,4966665.0,468635.0
